platform,post_id,comment,topic,neg_sentiment (%),pos_sentiment (%),neu_sentiment (%),actionable_insight,date
instagram,DM7zUx8swtt,Bro pls announce the signing of Superman 🇷🇴🇷🇴,New signing request (Superman),7.64,35.05,57.3,Implement a fan campaign celebrating Guus Til's contributions to the club.,
instagram,DM7zUx8swtt,🔥🔥🔥🙌,Enthusiastic praise,8.4,83.21,8.4,Increase social media engagement with positive fan reactions.,
instagram,DM7zUx8swtt,"Toch héél lekker om deze binnen te hebben zeg! 🏆 En, als je kijkt naar veel andere landen, fijn dat wij hem nog wél in eigen land spelen elk jaar. Mijn club!! ❤️🤍",Local player preference,8.33,78.8,12.87,Prioritize open training sessions to foster fan connection.,
instagram,DM7zUx8swtt,PSV schaal,Trophy achievement,7.84,66.29,25.87,Develop content highlighting local players' importance.,
instagram,DM7zUx8swtt,🕺 🕺,Excitement,8.43,83.14,8.43,Recognize and reward player achievements with a trophy presentation.,
instagram,DM7euGCs_Mh,Omg die gun ik jou zo erg! @kayleighmarlena ❤️,Fan admiration (Kayleigh Marlena),8.46,83.08,8.46,Generate excitement through dynamic social media content.,
instagram,DM7euGCs_Mh,"Bedankt voor alles luuk je bent en blijft een legende voor ons PSV hopelijk kom je ooit nog terug in een andere functie binnen de club, hopelijk krijg je een standbeeld. Luuk de legend 🐐💡",Player appreciation (Luuk de Jong),8.05,71.66,20.29,Create a dedicated fan campaign for player admiration.,
instagram,DM7euGCs_Mh,🔥🤩🤩,Enthusiastic praise,8.39,83.23,8.39,Develop a campaign honoring Luuk de Jong's legacy.,
instagram,DM7euGCs_Mh,🔥❤️🔥,Enthusiastic praise,8.39,83.22,8.39,Generate social media content reflecting intense fan enthusiasm.,
instagram,DM7euGCs_Mh,@lynn_.n die moet jij toch winnen als Luuks grootste fan,Fan competition (Luuk fan),7.98,23.65,68.38,Organize a fan competition celebrating Luuk de Jong’s supporters.,
instagram,DM7euGCs_Mh,😍😍😍😍😍😍🙌🙌,Overwhelming admiration,8.41,83.19,8.41,Produce content showcasing children’s PSV enthusiasm.,
instagram,DM7euGCs_Mh,Jammer heb geen account maar wel n zoon die Luuk heet en liefde voor psv kent en er heel gelukkig mee zou zijn☺️🥲,Child’s PSV enthusiasm,8.41,80.47,11.13,Highlight Guus Til's value to the team through data and visuals.,
instagram,DM7mNNgst6_,"Toen ik tegen een collega zei (is voor 020): kijk we hebben Guus Til binnengehaald, werd ik vierkant uitgelachen door hem 😅 Maar kijk eens naar wat voor waarde hij heeft en geeft aan PSV, zo'n speler heb je gewoon nodig in de selectie! Ik heb alleen maar lof voor Til! Een van mijn favoriete in het PSV shirt",Player appreciation (Guus Til),7.72,59.89,32.39,Reinforce Guus Til’s value through targeted messaging.,
instagram,DM7mNNgst6_,Hij is ook heel belangrijk op de platte kar,Player importance (Guus Til),9.84,14.93,75.23,Promote Guus Til’s positive attitude through fan stories.,
instagram,DM7mNNgst6_,Guus ❤️,Player appreciation (Guus Til),8.35,79.15,12.5,Launch a campaign to encourage Guus Til’s continued commitment.,
instagram,DM7mNNgst6_,"0nzunne Prins Guus d'n Tweede. Wil Guusje ook trainer worden zoals Prins Guus d'n urste, .. Hiddink?!",Manager comparison (Hiddink),8.41,13.87,77.71,Cultivate a sense of PSV identity through fan-generated content.,
instagram,DM7mNNgst6_,Voetballer met winnaars mentaliteit 💪🏻,Player mentality,7.68,50.11,42.21,Showcase Guus Til’s winning mentality in promotional materials.,
instagram,DM7mNNgst6_,"Til underrated, contract voor het leven!",Player loyalty (Guus Til),7.96,58.41,33.63,UNKNOWN,
instagram,DM7mNNgst6_,Echte PSV’er,Player identity,9.32,13.63,77.05,UNKNOWN,
instagram,DM7mNNgst6_,"Geweldig speler, en prachtig mens! Trots dat hij bij ons PSV speelt.",Player appreciation (Guus Til),7.98,69.21,22.81,UNKNOWN,
