source,content,date,hashtags,num_comments,num_shares,likes,share_count
Facebook,"From a kid with a dream... ✨
To record-breaking international 🦁

#CreatingStarsTogether",2025-09-07,"[""creatingstarstogether""]",7.0,12,484.0,
Facebook,"History made 👑
From #PSVAcademy to all-time top scorer of the Dutch national team, congrats Memphis! ❤️🇳🇱

#CreatingStarsTogether",2025-09-07,"[""psvacademy"",""creatingstarstogether""]",49.0,32,796.0,
Facebook,"Yarek delivers for Spain U21 🫡
On the scoresheet in a 3-0 win 🇪🇸",2025-09-07,,6.0,6,692.0,
Facebook,"International impact from Esmir 🌟🇧🇦
Assisting like a true team player 🅰️

#CreatingStarsTogether",2025-09-07,"[""creatingstarstogether""]",37.0,12,963.0,
Facebook,"✌️ goals and qualified for the World Cup. 
Last night was a good night for Ismael 🥵",2025-09-06,,62.0,8,1163.0,
Facebook,👥⛓️‍💥,2025-09-06,,10.0,4,476.0,
Facebook,"This is our #UYL schedule 📅
Get your tickets now via psv.nl/tickets 🎟️",2025-09-05,"[""uyl""]",9.0,5,170.0,
Facebook,"Our #PSVAcademy on international stage ✨

#CreatingStarsTogether",2025-09-04,"[""psvacademy"",""creatingstarstogether""]",15.0,4,250.0,
Facebook,"Een kans om er nét wat sneller bij te zijn. Voor die magische Champions League-avonden in het Philips Stadion die je niet wilt missen. 

🎫 Check: psv.nl/members",2025-09-03,,21.0,8,229.0,
Facebook,First action in red & white 🔴⚪,2025-09-03,,13.0,6,880.0,
Facebook,"Friendly win vs. STVV 🇧🇪

✔️ First minutes for Anass Salah-Eddine & Myron Boadu",2025-09-03,,45.0,15,1113.0,
Facebook,"Een nieuw ritueel is geboren 👀

Wegens succes zijn alle officiële #PSVxONTHATASS boxers nu al uitverkocht.",2025-09-03,"[""psvxonthatass""]",167.0,3,361.0,
Facebook,Squad numbers for 2025-2026: locked in ✔️,2025-09-03,,15.0,13,413.0,
Facebook,"What was your favorite moment of the season’s first month? ⚡

#PSVxiFOREXEurope",2025-09-02,"[""psvxiforexeurope""]",19.0,7,135.0,
Facebook,"Captain walking into international duty 🦁

📸 OnsOranje",2025-09-02,,31.0,9,813.0,
Facebook,"Good luck this season in 🇧🇪, Icey! 
Here’s to great progress ahead 📈",2025-09-01,,52.0,13,674.0,
Facebook,September on the pitch. UEFA Champions League nights are back 😍,2025-09-01,,89.0,21,616.0,
Facebook,"✌️ new faces = ✌️ jerseys to win
Who’s entering? 👉 psv.nl/transfers",2025-09-01,,26.0,7,224.0,
Facebook,Proudly representing. Go shine this week! ✨,2025-09-01,,34.0,18,446.0,
Facebook,A legend was born on this day in 1962 🙌,2025-09-01,,45.0,19,557.0,
Instagram,"First mission: ✔️

#PSVGAE #JCS2025",2025-08-04,"[""#PSVGAE"",""#JCS2025""]",6.0,,4920.0,
Instagram,"Van Luuk. Voor jou. 👊
Ga naar psv.nl/luuk 🔗",2025-08-04,,31.0,,4810.0,
Instagram,Van grote waarde 🙌,2025-08-04,,37.0,,6950.0,
Instagram,"𝐈𝐬𝐦𝐚𝐞𝐥 𝐒𝐚𝐢𝐛𝐚𝐫𝐢 𝐱 𝐭𝐡𝐞 𝐛𝐚𝐥𝐥 𝐛𝐨𝐲𝐬 🤩
At PSV, we do everything together ❤️🤍",2025-08-04,,19.0,,7898.0,
Instagram,"𝐗𝐗𝐈𝐗
Sleep well, Eindhoven 😘

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",20.0,,6962.0,
Instagram,"Goed stel hoor 😉

#PSVGAE #JCS2025",2025-08-04,"[""#PSVGAE"",""#JCS2025""]",33.0,,9440.0,
Instagram,"G⚽️⚽️dmorning 😉

#PSVGAE #JCS2025",2025-08-04,"[""#PSVGAE"",""#JCS2025""]",22.0,,7634.0,
Instagram,"#OttenInnovationCup memories: facing FC Barcelona in 2011 👀

#CreatingStarsTogether",2025-08-07,"[""#OttenInnovationCup"",""#CreatingStarsTogether""]",21.0,,8367.0,
Instagram,"1️⃣5️⃣🏆

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",30.0,,13233.0,
Instagram,"Morgen massaal in het rood. 🔴

#PSVSPA",2025-08-08,"[""#PSVSPA""]",28.0,,8376.0,
Instagram,"From dominating Eindhoven to a Ballon d’Or nomination. So proud of you, Denzel 😮‍💨

#CreatingStarsTogether",2025-08-07,"[""#CreatingStarsTogether""]",144.0,,92614.0,
Instagram,"Thumbs up if you’re excited for the new Eredivisie season! 👍

#PSVSPA",2025-08-07,"[""#PSVSPA""]",21.0,,5662.0,
Instagram,"Captain’s shirt 😏
𝐖𝐈𝐍! 👉 PSV.nl/schouten",2025-08-07,,12.0,,4150.0,
Instagram,"Kane Aerts = PSV sinds 2016 ❤️
Eerste profcontract tot 2028 is binnen! ✍️

#CreatingStarsTogether",2025-08-07,"[""#CreatingStarsTogether""]",164.0,,5916.0,
Instagram,❤️🤍,2025-08-06,,18.0,,4894.0,
Instagram,Perfecte match 🥰,2025-08-06,,24.0,,7230.0,
Instagram,Sweet morning 😍,2025-08-07,,4.0,,6676.0,
Instagram,Always him. Always PSV ❤️🤍,2025-08-05,,44.0,,12685.0,
Instagram,"Wil jij de open training op 12 augustus vanaf VIP-stoelen beleven? Inclusief een rondleiding, lunch in het stadion én de mogelijkheid om spelers te ontmoeten voor een handtekening. 👕

Check: PSV.nl/iforex

𝘋𝘦𝘻𝘦 𝘨𝘪𝘷𝘦𝘢𝘸𝘢𝘺 𝘸𝘰𝘳𝘥𝘵 𝘷𝘰𝘭𝘭𝘦𝘥𝘪𝘨 𝘣𝘦𝘩𝘦𝘦𝘳𝘥 𝘥𝘰𝘰𝘳 𝘗𝘚𝘝. 

#PSVxIFOREXeu",2025-08-06,"[""#PSVxIFOREXeu""]",8.0,,1202.0,
Instagram,"Jerdy Schouten 2️⃣0️⃣3️⃣0️⃣
Nog veel doelen te realiseren met onze ©️aptain 🫡",2025-08-06,,75.0,,15043.0,
Instagram,Taking a closer look at how we kicked off the last five seasons 🔍,2025-08-05,,12.0,,7660.0,
Instagram,💞,2025-08-04,,24.0,,9247.0,
Instagram,"A throwback to a big win with big names at the #OttenInnovationCup 👀

#CreatingStarsTogether",2025-08-05,"[""#OttenInnovationCup"",""#CreatingStarsTogether""]",18.0,,9814.0,
Instagram,"An experienced striker who knows how to score goals. Bienvenue, Alassane! 🫡",2025-07-17,,196.0,,17925.0,
Instagram,"A rising baller. From #PSVAcademy to the first team, and now off to RB Leipzig. Wishing you all the best in your future, Baka! ❤️🤍

#CreatingStarsTogether",2025-07-16,"[""#PSVAcademy"",""#CreatingStarsTogether""]",137.0,,42978.0,
Instagram,Am I seeing double? 🤯,2025-07-16,,8.0,,4384.0,
Instagram,Aura. 🥶,2025-07-16,,29.0,,7646.0,
Instagram,"Say hi to Kiliann, kicking off his fresh start ⚡",2025-07-16,,24.0,,6821.0,
Instagram,Cou 📸 the photographer ✨,2025-07-16,,40.0,,8949.0,
Instagram,"Another signing done! 🤝
Want to win his shirt? Enter here: psv.nl/sildillia",2025-07-16,,17.0,,5102.0,
Instagram,The beginning of a new journey.,2025-07-16,,15.0,,4854.0,
Instagram,"Matchwinner 🇺🇸

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",35.0,,18340.0,
Instagram,"First trophy of the season: secured. 🏆

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",34.0,,7527.0,
Instagram,"📘 Player passport: @ksildillia.
Discover more about our new French defender.",2025-07-16,,50.0,,10668.0,
Instagram,"Het is niet vanzelfsprekend. Het is Luuk. 
En die band...die blijft ♾️",2025-08-03,,135.0,,34002.0,
Instagram,"Our star today! 🌟

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",42.0,,7427.0,
Instagram,"SUPER CUP WINNERS 2025 🏆

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",157.0,,13229.0,
Instagram,"Back in the game! 🤯

#PSVGAE 2-1 #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",23.0,,5976.0,
Instagram,No stranger to winning titles 😎,2025-07-15,,47.0,,11701.0,
Instagram,"New goalie in the squad. 🧤
Welcome, Matěj! 🇨🇿",2025-07-15,,107.0,,13472.0,
Instagram,🤍✨,2025-07-13,,33.0,,14095.0,
Instagram,Set the tone. Day one ✅,2025-07-14,,27.0,,7618.0,
Instagram,On the road to Klosterpforte 🇩🇪🚍,2025-07-14,,45.0,,10330.0,
Instagram,Checked in. Let’s make it a strong week 💪,2025-07-14,,33.0,,9990.0,
Instagram,When you realize training camp starts tomorrow - which means plenty of content coming your way this week 😃,2025-07-13,,16.0,,7830.0,
Instagram,#PSVELV dump 🎞️,2025-07-12,"[""#PSVELV""]",23.0,,7922.0,
Instagram,"Thank you @psv family ❤️ 

I always felt the love from everyone and I’m very grateful for the opportunities I got here at this beautiful club. 
From day 1 you made me feel at home and we created great memories. I want to thank you guys, for seeing me and making me the person and player I am today… 

See you soon! 

MT",2025-07-12,,551.0,,39991.0,
Instagram,"New talent in Eindhoven 💫

#CreatingStarsTogether",2025-08-01,"[""#CreatingStarsTogether""]",139.0,,14223.0,
Instagram,"The 2025-2026 season officially begins this month 😍
Expectations? 🔮",2025-08-01,,16.0,,4593.0,
Instagram,"Most titles won 🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆

#PSVGAE #JCS2025",2025-08-01,"[""#PSVGAE"",""#JCS2025""]",24.0,,6800.0,
Instagram,"All eyes on Sunday. 

#PSVGAE #JCS2025",2025-08-01,"[""#PSVGAE"",""#JCS2025""]",13.0,,4630.0,
Instagram,Eindhovenaar Adrie van Kraaij viert vandaag zijn 72e verjaardag. Gefeliciteerd! 🎁,2025-08-01,,9.0,,2390.0,
Instagram,"Win ✌ tickets voor #PSVGAE 
🎟️ PSV.nl/fanseats

#JCS2025",2025-07-31,"[""#PSVGAE"",""#JCS2025""]",139.0,,4384.0,
Instagram,"Pepi’s sharp. Sunday’s close 👀

#PSVGAE #JCS2025",2025-07-31,"[""#PSVGAE"",""#JCS2025""]",11.0,,7579.0,
Instagram,"Starting the 2025-2026 trophy hunt 😤

#PSVGAE #JCS2025",2025-07-31,"[""#PSVGAE"",""#JCS2025""]",23.0,,5808.0,
Instagram,"⚽️⚽️ @pepi_ricardo 
⚽️ @guustil 

#PSVFCE",2025-07-30,"[""#PSVFCE""]",82.0,,14468.0,
Instagram,"Level 30: 𝐮𝐧𝐥𝐨𝐜𝐤𝐞𝐝 🔓
Geniet van je verjaardag, Nick 🫶",2025-08-01,,51.0,,9983.0,
Instagram,El Tren is back on track 🚂,2025-07-12,,31.0,,6898.0,
Instagram,"Iceyyyyy. 🧊

#PSVELV 3-1",2025-07-12,"[""#PSVELV""]",22.0,,6109.0,
Instagram,"Esmir 🎯

#PSVELV 2-1",2025-07-12,"[""#PSVELV""]",40.0,,15178.0,
Instagram,"Another win ✔️

#PSVELV",2025-07-12,"[""#PSVELV""]",34.0,,5919.0,
Instagram,"Fresh XI for the second half 🔋

#PSVELV",2025-07-12,"[""#PSVELV""]",19.0,,7479.0,
Instagram,Malik Tillman in Eindhoven one last time (for now) ❤️,2025-07-12,,30.0,,10550.0,
Instagram,"In the lead after 60 minutes 🫡

#PSVELV",2025-07-12,"[""#PSVELV""]",14.0,,5147.0,
Instagram,"This is our starting squad 🔷

#PSVELV",2025-07-12,"[""#PSVELV""]",33.0,,6631.0,
Instagram,"Tay with the opener! ✊

#PSVELV 1-0",2025-07-12,"[""#PSVELV""]",109.0,,8196.0,
Instagram,"He arrived in Eindhoven without big words, just hard work. It didn’t take long before his quality spoke for itself. Game by game, he grew into a key player. A true champion. Always giving everything for the team. Now, a new chapter begins.

Thank you for everything, Malik. Wishing you all the best in 🇩🇪",2025-07-12,,342.0,,46581.0,
Instagram,"𝐓𝐞𝐬𝐭 𝐈𝐈.

#PSVELV",2025-07-12,"[""#PSVELV""]",14.0,,4426.0,
Instagram,A rising talent has landed in Eindhoven! 💫,2025-07-16,,90.0,,13105.0,
Instagram,Sweet dreams. See you tomorrow 🥰,2025-07-15,,14.0,,7851.0,
Instagram,"Rotterdam mag gaan genieten van je energie, focus, inzet en persoonlijkheid. Heel veel succes, Joël! 🫶",2025-07-15,,34.0,,9145.0,
Instagram,"𝐏𝐞𝐩𝐢 𝟗 ✨
A number rich in history. A future yet to be written.",2025-07-15,,210.0,,26469.0,
Instagram,Today’s winning team 👀,2025-07-15,,36.0,,11099.0,
Instagram,"Fresh shirt, signed and waiting for you: PSV.nl/kovar 📦",2025-07-15,,8.0,,4296.0,
Instagram,"Day one, through our lens 🎞️",2025-07-15,,11.0,,5439.0,
Instagram,Zoom out. The work gets bigger 🥵,2025-07-15,,8.0,,4461.0,
Instagram,He left as a boy. He returns as a man. Looking forward to seeing you do your thing out there 🤩,2025-07-11,,24.0,,12628.0,
Instagram,From dreaming it… to signing it 🔴⚪,2025-07-11,,5.0,,5167.0,
Instagram,Every detail tells the story.,2025-07-11,,56.0,,18162.0,
Instagram,"A new era in 7️⃣
Shirt winnen? 👉 PSV.nl/bommel",2025-07-11,,44.0,,9152.0,
Instagram,"PSV in mijn ziel, PSV in mijn hart ❤️🤍

#CreatingsStarsTogether",2025-07-11,"[""#CreatingsStarsTogether""]",57.0,,26842.0,
Instagram,"Once a PSV player, always a PSV player 😍",2025-07-11,,50.0,,16901.0,
Instagram,From father to son. A legacy continues 🤌,2025-07-11,,227.0,,29692.0,
Instagram,"Welcome home, Ruben 🥰",2025-07-11,,235.0,,21089.0,
Instagram,Back in Eindhoven - no slowing down 😤,2025-07-21,,22.0,,4954.0,
Instagram,"Home 25/26 🫱🏻‍🫲🏽

#ForeverEnergized",2025-07-11,"[""#ForeverEnergized""]",19.0,,8393.0,
Instagram,"🚩🤣

👉 PSV Play",2025-07-20,,20.0,,11338.0,
Instagram,From the pitch to the mic 🎙️,2025-07-19,,35.0,,10179.0,
Instagram,🆕,2025-07-19,,38.0,,13817.0,
Instagram,⚽️⚽️⚽️⚽️,2025-07-19,,56.0,,10884.0,
Instagram,"𝐕𝐟𝐁 𝐒𝐭𝐮𝐭𝐭𝐠𝐚𝐫𝐭 - 𝐏𝐒𝐕: 4️⃣-4️⃣
0-1 Guus
2-2 Alassane 
2-3 Mauro Jr. 
2-4 Tay

Full match tonight, PSV Play 📺",2025-07-19,,63.0,,13512.0,
Instagram,Liebe Grüße aus Deutschland 🥰,2025-07-19,,16.0,,4966.0,
Instagram,Squad vibes? Spot on 😃,2025-07-18,,39.0,,11187.0,
Instagram,Pushing limits 🥵,2025-07-18,,22.0,,9424.0,
Instagram,"Een aanvoerder met klasse. Een spits met gif. Een leider met hart. Dit is meer dan een speler. Dit is PSV.

Finales beslist. Titels gepakt. Supporters laten springen. Luuk stond er als het moest. Altijd.

Voor altijd één van ons. Een echte clublegende. 

Bedankt, Luuk! ❤️🤍",2025-08-03,,488.0,,45384.0,
Instagram,Intensity 💪,2025-07-18,,12.0,,5113.0,
Instagram,"Rust.

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",224.0,,5326.0,
Instagram,"Home turf 😍

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",18.0,,6227.0,
Instagram,"Guarding the net today.

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",7.0,,4425.0,
Instagram,"Team PSV 🔴⚪️

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",183.0,,9994.0,
Instagram,"The stage is set 🚜🌱

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",25.0,,4199.0,
Instagram,"The first trophy is at stake. 🛡

#PSVGAE #JCS2025",2025-08-03,"[""#PSVGAE"",""#JCS2025""]",95.0,,8910.0,
Instagram,"𝐓𝐰𝐞𝐧𝐭𝐲-𝐨𝐧𝐞 🥳
Geniet van deze dag, Ruben 😘",2025-08-03,,69.0,,11758.0,
Instagram,"Best PSV goal in the Super Cup? 📢

#PSVGAE #JCS2025",2025-08-02,"[""#PSVGAE"",""#JCS2025""]",37.0,,7637.0,
Instagram,"Nieuw gezicht bij Jong PSV! 🧤

#CreatingStarsTogether",2025-08-02,"[""#CreatingStarsTogether""]",156.0,,6492.0,
Instagram,"But can he do it on a rainy night in Eindhoven? 😉🤷‍♂️

#CreatingStarsTogether",2025-08-01,"[""#CreatingStarsTogether""]",22.0,,9060.0,
Instagram,"Weer samen in een uitverkocht huis ❤️🤍

#PSVATH",2025-07-26,"[""#PSVATH""]",32.0,,7821.0,
Instagram,Welkom terug 🫶,2025-07-26,,18.0,,6062.0,
Instagram,Provisional squad numbers? We’ve got you. 👕,2025-07-26,,67.0,,13207.0,
Instagram,"Rood-Witten 🤝 Zuri-gorriak 🔴⚪️

#PSVATH",2025-07-26,"[""#PSVATH""]",40.0,,12655.0,
Instagram,"FANday Friendly 💥

#PSVATH",2025-07-26,"[""#PSVATH""]",22.0,,5506.0,
Instagram,"Na meer dan 10 jaar #PSVAcademy breekt er een nieuw hoofdstuk aan voor Kjell Peersman. We wensen je veel succes met dit nieuwe avontuur, Kjell ❤️🤍 

#CreatingStarsTogether",2025-07-25,"[""#PSVAcademy"",""#CreatingStarsTogether""]",26.0,,8158.0,
